[2025-12-23 08:19:10] ? BookingExpirationService started
[2025-12-23 08:22:17] Actor 38: Found 2 movies
[2025-12-23 08:24:58] ✅ Deleted room 1008 with 100 seats
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_535_49 -> qr_QR639020767721042107_0_535_49.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_536_50 -> qr_QR639020767721042107_0_536_50.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_537_51 -> qr_QR639020767721042107_0_537_51.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_538_52 -> qr_QR639020767721042107_0_538_52.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_539_53 -> qr_QR639020767721042107_0_539_53.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_540_54 -> qr_QR639020767721042107_0_540_54.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_541_55 -> qr_QR639020767721042107_0_541_55.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_542_56 -> qr_QR639020767721042107_0_542_56.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_543_57 -> qr_QR639020767721042107_0_543_57.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_544_58 -> qr_QR639020767721042107_0_544_58.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_545_59 -> qr_QR639020767721042107_0_545_59.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_546_60 -> qr_QR639020767721042107_0_546_60.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_547_61 -> qr_QR639020767721042107_0_547_61.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_548_62 -> qr_QR639020767721042107_0_548_62.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_549_63 -> qr_QR639020767721042107_0_549_63.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_550_64 -> qr_QR639020767721042107_0_550_64.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_551_65 -> qr_QR639020767721042107_0_551_65.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_552_66 -> qr_QR639020767721042107_0_552_66.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_553_67 -> qr_QR639020767721042107_0_553_67.png
