[2025-11-20 18:11:29] ? BookingExpirationService started
[2025-11-20 18:12:29] ? Found 67 expired bookings to cancel
[2025-11-20 18:12:29] ? Cancelled expired booking ID=6, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=7, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=8, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=9, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=10, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=11, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=12, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=13, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=14, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=15, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=16, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=17, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=18, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=19, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=20, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=21, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=22, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=23, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=24, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=25, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=26, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=27, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=28, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=29, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=30, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=31, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=32, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=33, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=34, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=35, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=36, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=37, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=38, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=39, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=40, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=41, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=42, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=58, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=64, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=65, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=67, Customer=1, Released 2 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=68, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=69, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=75, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=76, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=77, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=78, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=79, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=80, Customer=1, Released 1 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=81, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=82, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=83, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=84, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=85, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=86, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=87, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=88, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=89, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=90, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=92, Customer=2, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=95, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=96, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=97, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=98, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=99, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=100, Customer=1, Released 0 seats
[2025-11-20 18:12:29] ? Cancelled expired booking ID=102, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Found 67 expired bookings to cancel
[2025-11-20 18:13:29] ? Cancelled expired booking ID=6, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=7, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=8, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=9, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=10, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=11, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=12, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=13, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=14, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=15, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=16, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=17, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=18, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=19, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=20, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=21, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=22, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=23, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=24, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=25, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=26, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=27, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=28, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=29, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=30, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=31, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=32, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=33, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=34, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=35, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=36, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=37, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=38, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=39, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=40, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=41, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=42, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=58, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=64, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=65, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=67, Customer=1, Released 2 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=68, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=69, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=75, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=76, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=77, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=78, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=79, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=80, Customer=1, Released 1 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=81, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=82, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=83, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=84, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=85, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=86, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=87, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=88, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=89, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=90, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=92, Customer=2, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=95, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=96, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=97, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=98, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=99, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=100, Customer=1, Released 0 seats
[2025-11-20 18:13:29] ? Cancelled expired booking ID=102, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Found 67 expired bookings to cancel
[2025-11-20 18:14:29] ? Cancelled expired booking ID=6, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=7, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=8, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=9, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=10, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=11, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=12, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=13, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=14, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=15, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=16, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=17, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=18, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=19, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=20, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=21, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=22, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=23, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=24, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=25, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=26, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=27, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=28, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=29, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=30, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=31, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=32, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=33, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=34, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=35, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=36, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=37, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=38, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=39, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=40, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=41, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=42, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=58, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=64, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=65, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=67, Customer=1, Released 2 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=68, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=69, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=75, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=76, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=77, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=78, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=79, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=80, Customer=1, Released 1 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=81, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=82, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=83, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=84, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=85, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=86, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=87, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=88, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=89, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=90, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=92, Customer=2, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=95, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=96, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=97, Customer=1, Released 0 seats
[2025-11-20 18:14:29] ? Cancelled expired booking ID=98, Customer=1, Released 0 seats
